TARA_7	TARA_9	TARA_18	TARA_22	TARA_23	TARA_25
1990419_1	32	61	16	15	10	11
1990419_2	32	61	16	15	10	11
2038723	29	62	13	14	15	17
170621_1	28	53	20	17	9	9
170621_2	28	53	20	17	9	9
256544	28	65	22	22	26	16
570290	22	47	14	17	19	12
947773	35	64	16	24	23	14
3217467	25	54	13	22	11	18
3695541	30	56	11	12	18	21
4273217	37	55	11	15	10	12
4278178	27	56	15	19	11	11
756329	32	53	10	13	21	14
21083	38	63	15	11	13	12
5356019	24	49	10	22	9	12
2507152	26	58	15	22	21	9
3216723	26	59	15	18	23	15
2738725	36	52	16	18	11	20
107023	30	48	16	15	20	12
137823	37	47	9	19	9	20
43972	27	64	12	22	20	9
2713586	36	50	15	20	17	17
168931	33	47	10	13	13	9
1066612	32	63	21	20	21	9
4456442	34	67	11	23	25	15
6409733	25	61	18	15	23	9
464560	33	56	14	18	9	18
1787395	32	67	16	18	23	11
832779	30	61	20	15	21	18
3612220	31	59	20	13	24	12
724099_1	27	66	9	15	9	12
724099_2	27	66	9	15	9	12
698259	32	67	16	10	25	15
315914	25	51	20	10	20	14
2038375	32	50	14	14	10	19
217027	30	65	10	13	11	19
2849587	27	51	16	21	14	18
2461203	25	56	11	12	12	14
1486991	27	48	11	17	20	12
6512170	25	67	18	17	15	15
821837	30	45	9	18	11	12
5361247	24	52	18	19	22	15
807099	32	63	18	18	12	14
1213209	26	58	19	23	15	11
4738760	33	64	15	20	11	14
2141758	24	44	16	18	12	13
5469182	36	60	20	22	28	17
5153715	30	61	20	19	11	16
1819574	36	64	19	13	13	19
1797656	32	53	12	13	20	17
234402_1	41	60	16	17	11	20
234402_2	41	60	16	17	11	20
528843	34	59	11	17	22	10
2228823	26	59	19	20	26	16
1476203	23	59	9	22	17	11
113504	26	57	12	17	16	15
492100	34	57	19	15	12	10
1841631	26	59	10	19	27	9
713389	36	60	14	9	15	13
160045_1	40	48	15	12	15	13
160045_2	40	48	15	12	15	13
5163220	34	51	12	16	9	16
4903064	30	60	14	15	17	18
2628058	24	64	16	13	17	18
2757627_1	30	67	19	22	24	20
2757627_2	30	67	19	22	24	20
1793400	32	66	13	24	24	15
5793114	32	67	14	12	27	19
240342	38	66	20	16	23	10
19289	28	65	10	13	9	20
3972923	32	69	14	12	14	20
5194971	32	62	15	15	12	17
4905845	26	61	13	20	15	20
2670581	30	55	17	17	17	13
5460947	41	53	11	17	10	14
1986239	37	71	22	19	22	16
644191	31	63	10	10	14	17
2676480	30	69	9	13	17	18
3527940	31	72	20	22	21	10
2299135	36	61	16	21	25	14
807203	39	60	11	9	10	13
503725	31	63	10	17	11	19
4591419	21	47	14	13	18	16
1107520	25	60	16	16	19	17
5863253	37	55	9	13	13	15
6048914	36	52	11	13	10	12
3148437	37	61	19	23	20	18
3960111	34	60	11	15	25	9
93993	24	59	19	16	20	15
5299875	21	60	16	9	9	12
2212066	28	47	11	9	9	17
3479674	21	60	17	15	18	14
2280015	36	62	19	20	23	21
1818287	32	61	18	14	27	9
5743918	26	60	21	18	10	16
1568354	21	50	20	20	14	13
647349	28	44	9	19	16	14
5651562_1	23	57	13	21	25	15
5651562_2	23	57	13	21	25	15
1407614	23	70	19	19	27	15
906887	29	46	15	11	13	13
2672878	22	46	10	17	11	10
1085692	31	50	12	9	18	14
267794	27	56	14	11	21	11
5139948	22	45	15	11	9	16
1973528	40	65	10	14	10	13
5605518	25	50	17	18	11	16
5056319	25	56	20	22	23	13
1175525	23	63	21	13	17	17
4969522	29	57	11	14	11	14
5178437	30	65	11	16	13	11
206598	23	47	9	16	12	19
1823418	32	64	19	18	19	11
5066718	24	56	11	19	27	11
5624144	40	63	11	19	25	14
2445997	32	49	11	11	10	17
84370	28	50	11	12	18	20
5099373	23	55	22	17	25	14
103573	37	49	15	22	15	18
5648734	33	55	15	13	25	10
1090017_1	24	46	14	17	9	10
1090017_2	24	46	14	17	9	10
818158	29	48	15	19	14	15
5793422	27	52	10	14	12	19
757196	24	48	15	25	12	9
873573	33	52	13	20	13	17
2097044	27	46	17	15	15	13
684860	30	68	15	18	17	17
127275	23	53	14	14	25	10
406767	36	66	13	10	14	13
792688	31	56	14	23	19	14
2466246	32	57	10	24	9	18
2286307	27	46	18	9	19	18
2168374	38	71	13	15	28	13
2278692	30	57	14	13	9	16
1842529	32	62	11	16	9	18
882219	26	44	19	16	10	9
1580945	32	49	15	12	13	13
2228307	31	67	13	22	15	12
5671447	32	54	17	12	16	15
1160384	27	66	13	18	12	16
834712	27	65	16	17	11	17
4983083	25	52	15	11	14	10
2288292	28	64	13	22	16	17
5235089	34	63	18	16	21	11
2078108	21	44	9	15	15	11
537142	31	47	12	12	13	13
108867	34	53	14	15	12	16
1784735	37	56	16	17	20	20
5068002_1	33	70	10	24	25	18
5068002_2	33	70	10	24	25	18
5068002_3	33	70	10	24	25	18
2653642	24	59	11	15	10	14
4004797	31	70	13	16	28	19
3025176	35	62	12	19	9	16
3129076	34	62	13	15	16	16
496766	30	72	10	22	28	11
4771214	33	56	9	11	13	15
878950	41	57	13	9	13	14
5448045	28	46	15	14	11	16
1969865	35	64	14	22	28	12
1852563	26	42	12	9	12	14
1971177	37	61	17	14	14	14
836554	25	57	13	15	21	12
5399751	29	57	13	16	26	17
5699623	26	62	20	18	20	16
5070139_1	41	63	18	22	25	18
5070139_2	41	63	18	22	25	18
438283	27	56	14	15	16	12
1089798	29	58	12	13	12	17
125510	37	45	12	15	15	12
147680	33	48	17	18	14	13
6261546	29	72	22	21	20	9
2236779	26	59	9	15	11	12
1954979	27	59	14	13	16	15
1083400	35	51	18	14	10	11
375375	33	54	10	17	21	12
441513	29	58	18	13	11	17
3650094	35	69	21	19	20	17
135771	24	50	14	13	20	11
4229896	38	59	21	15	26	11
1959677	29	68	17	15	23	19
5631787	29	62	15	17	12	21
1591590	34	57	17	13	22	14
364188	28	64	15	11	11	17
3905727	24	58	18	17	9	18
923061	21	55	9	13	18	16
1769718	23	62	18	15	12	14
1512165	28	65	15	18	9	21
647411	28	56	10	22	15	9
3043721	32	58	20	14	19	12
4932722_1	28	51	15	12	16	12
4932722_2	28	51	15	12	16	12
3645371	39	66	22	24	28	9
6596363_1	40	71	21	17	21	14
6596363_2	40	71	21	17	21	14
4331056	32	53	15	19	15	13
4332312	33	61	20	11	14	19
3143265	24	58	12	14	23	9
3429408	35	55	15	20	25	10
53595	33	57	14	23	9	13
5126411	37	61	17	22	10	19
5039845	37	63	20	13	23	10
375432	26	58	16	17	20	13
4974873	35	66	14	13	20	11
710	32	66	9	14	9	18
4054112_1	27	59	15	16	21	15
4054112_2	27	59	15	16	21	15
607881	29	67	15	18	28	9
5629085	33	48	18	15	20	10
263057	30	49	9	10	12	16
416842	27	59	15	21	15	11
1114901	24	62	18	11	19	13
5671893	37	56	9	10	12	17
4954899	25	57	14	10	12	11
3607632	39	66	11	18	24	13
1109113	27	50	11	14	18	10
72628	30	51	19	17	17	21
1473500	40	54	13	16	10	21
346321	37	70	20	21	28	9
2252479	36	70	18	16	23	13
6079578	34	46	14	18	16	9
5227180	24	52	13	20	11	19
29539	30	62	20	18	16	16
1135111	38	51	17	12	12	18
2516331	32	61	22	17	26	20
6491670	34	65	12	12	16	14
752763	28	58	11	12	18	10
4004363	37	57	14	14	20	17
6300046	28	72	14	23	25	18
2978960	32	49	15	13	10	14
5113308	33	62	16	22	15	19
2493667	34	65	16	24	26	20
1566601	35	56	17	17	14	17
4321642	39	60	16	15	24	12
4975878	33	52	20	22	14	12
1910718	33	66	17	13	20	14
291050_1	38	71	20	14	26	13
291050_2	38	71	20	14	26	13
2765804_1	27	57	9	24	20	11
2765804_2	27	57	9	24	20	11
1904523	26	49	10	11	10	12
2372687	24	61	14	14	10	20
2166046	29	60	17	21	27	13
5718556	22	56	12	11	22	10
2561527	27	49	12	19	14	12
815601	31	60	22	21	15	14
2630321	31	55	10	10	18	15
1947009	28	56	17	13	15	10
911469	30	47	14	18	9	16
881987	38	62	12	16	9	21
5385439	24	59	18	10	18	13
3317919	39	67	18	16	17	15
912185	38	58	18	13	12	18
1172841	23	47	9	15	10	13
1730771	30	66	13	12	17	22
6143242	35	67	14	14	10	11
5918224	29	55	11	18	11	20
341391	30	68	18	12	23	16
349555	26	49	22	9	12	14
2402075	25	56	20	16	10	15
3243005	31	54	21	11	22	11
1528987	36	66	17	14	24	15
2491691	32	48	14	11	16	10
1992180	30	61	17	19	18	20
5362002	21	53	10	19	11	12
1571112	34	60	18	13	17	22
1486473_1	26	65	15	17	9	15
1486473_2	26	65	15	17	9	15
2260657	35	63	20	24	24	13
3245314	33	58	17	18	27	15
373894	25	58	12	21	19	19
2669357	31	68	16	21	26	13
324689	30	61	16	22	23	21
1414284	31	68	20	21	24	15
4934709	37	72	13	14	26	13
4671670	43	67	17	18	28	10
3681757	31	66	19	16	26	12
1200221	34	54	10	14	9	17
674727_1	30	66	19	16	27	19
674727_2	30	66	19	16	27	19
674727_3	30	66	19	16	27	19
5359358_1	38	62	10	10	9	15
5359358_2	38	62	10	10	9	15
89773	34	62	18	18	15	13
49670	36	68	21	23	21	16
5172399	37	60	16	12	27	19
854660	34	63	18	17	15	9
1216846	24	70	14	16	28	13
4009138	37	61	12	19	27	10
1210681	37	46	11	12	14	12
1763499	31	66	21	12	23	19
43948	33	49	15	19	13	10
4664459	29	56	20	10	22	12
3269058	24	63	13	12	11	22
