TARA_146	TARA_147	TARA_148	TARA_152
2709010	28	20	29	86
1505197_1	39	18	20	58
1505197_2	39	18	20	58
2855006	24	13	32	59
1822723	32	21	21	34
1581299	40	24	24	61
339489	32	21	22	67
2145167	40	22	15	25
2936106	18	14	22	35
452543	15	15	12	46
576088	37	15	20	65
2171412	45	24	26	63
1575037	35	20	29	24
328392	22	18	18	29
907682	44	18	27	68
1904629	27	13	17	70
536918	22	20	32	62
1691738_1	30	20	27	36
1691738_2	30	20	27	36
1948683	22	13	12	45
2848144	37	20	22	73
936333	22	15	21	32
2216219	25	17	11	23
1453113	17	14	14	31
1133227	37	17	23	33
2117062	34	22	31	54
1349183_1	33	11	30	58
1349183_2	33	11	30	58
2280892_1	29	22	25	41
2280892_2	29	22	25	41
1820100	27	11	21	39
1970130	30	17	16	50
2474370	30	25	23	53
2208411	37	20	31	44
2184592	20	16	24	44
1296541	38	20	28	35
2196453_1	22	21	15	24
2196453_2	22	21	15	24
2917860	37	15	25	58
1624280	38	21	22	49
837714	37	25	21	64
2006062_1	31	16	20	19
2006062_2	31	16	20	19
2737839_1	43	25	19	60
2737839_2	43	25	19	60
2737839_3	43	25	19	60
1729291	43	23	22	32
317938	44	17	21	56
2589669_1	24	16	25	97
2589669_2	24	16	25	97
1781034	26	12	27	28
2014884_1	36	17	31	89
2014884_2	36	17	31	89
2014884_3	36	17	31	89
602430	39	17	17	59
912817	40	24	27	68
2134501	28	16	19	49
1267717_1	41	24	29	112
1267717_2	41	24	29	112
1005677	25	10	20	44
1894382_1	30	19	21	81
1894382_2	30	19	21	81
718522	23	20	17	34
2563995	40	26	16	36
932564	34	22	15	40
2725825_1	29	22	25	69
2725825_2	29	22	25	69
2725825_3	29	22	25	69
2753038	27	9	22	46
133951	37	22	20	81
807198	23	18	23	20
2828391_1	37	13	15	41
2828391_2	37	13	15	41
919196	28	13	21	46
648470	20	10	14	47
1314684	24	9	19	53
2694666	37	12	21	89
1990859	32	13	20	96
284744	29	15	25	54
13779	25	20	17	29
2731358	23	14	27	37
771727	40	19	33	62
2843066	24	22	14	49
2132378	41	25	31	52
2167198	38	15	31	81
2393797	23	18	19	60
2470360	35	16	20	25
2716459	38	20	20	87
1859340	45	25	30	54
2487506_1	39	23	31	73
2487506_2	39	23	31	73
586555	22	16	20	51
1018430	37	17	26	46
671053	32	19	20	62
2923852	29	11	10	46
756732	18	18	16	32
841865	39	26	17	55
2174340	35	24	19	58
1741201	43	18	28	67
1780066	23	17	24	81
1339849	23	20	32	63
1521711	20	10	19	20
1349026	24	22	16	77
1894392_1	16	11	21	41
1894392_2	16	11	21	41
2082919	34	19	29	51
2145623	35	15	13	43
1643917	17	10	20	33
2505361	41	19	24	93
1306269	42	20	17	27
1207186	36	26	27	93
2545198	34	16	27	86
2865961	19	14	21	57
900225	31	10	18	64
327981_1	31	15	23	48
327981_2	31	15	23	48
327981_3	31	15	23	48
1709645	38	14	32	70
2280823	28	20	22	49
2485817	26	17	17	41
374390	26	17	20	64
2061453	27	17	20	65
543082	26	19	19	60
2436140_1	22	20	19	53
2436140_2	22	20	19	53
2765179	21	13	12	19
226985	17	12	19	47
2467450	26	19	26	101
2074379	23	13	12	45
1951468	17	10	17	53
224528_1	28	23	23	44
224528_2	28	23	23	44
935143	41	23	24	93
1775483	39	20	16	61
1900459	29	13	21	59
1313941	24	18	18	27
1314030	21	20	26	59
1145789	23	14	11	77
1676530	39	23	19	54
2543435	37	23	27	104
360224	28	17	26	52
2730766	30	10	14	41
1535922	23	12	19	64
572471	35	17	30	110
1844583	22	19	20	55
528794	36	22	21	93
1100886	25	16	19	57
1264608	33	21	21	52
2938757	27	11	21	85
2204098	30	21	23	58
1175206_1	24	16	31	52
1175206_2	24	16	31	52
1138649	33	19	31	35
1750884	30	15	20	45
1616276	39	16	27	90
1208497	30	13	29	66
1572143	31	21	22	82
2405055	37	20	25	88
1248242	27	16	11	60
1532055	21	19	22	27
587927	42	21	23	107
2159483	28	18	16	24
1946242	32	15	20	42
1751378	18	9	17	43
1230868	37	25	20	28
782600	21	19	26	77
2722875	40	17	24	61
1355014	41	23	31	49
2412890	39	26	34	109
397054	29	13	14	72
1357207	22	14	21	48
2352218	22	19	13	16
1391350	20	21	23	61
1474072	21	24	20	50
364240_1	32	26	31	32
364240_2	32	26	31	32
364240_3	32	26	31	32
964905_1	29	11	13	48
964905_2	29	11	13	48
2914920	28	12	19	53
573952	41	24	24	84
1988727	30	13	21	73
793168	33	16	19	36
2513852	23	15	20	71
2833879	28	20	17	78
2833782	40	15	25	78
1705913	35	16	22	72
2006350	26	13	19	69
924224_1	36	17	29	77
924224_2	36	17	29	77
1896534	32	10	21	56
1607667	32	10	22	82
1145355	20	20	15	81
2157879	35	20	12	39
2518718	25	14	13	39
162044	23	20	16	55
1499677	28	25	21	55
2008580	16	14	29	55
656009	28	17	11	66
1804651_1	24	16	15	42
1804651_2	24	16	15	42
643959	19	15	10	37
2530716	39	24	26	96
1304906	43	19	30	49
54433	39	23	33	108
1247846	35	22	31	36
722793	21	22	21	55
1356829	27	16	14	81
2716159	30	18	28	91
2938592	26	13	20	50
2739260_1	40	14	20	51
2739260_2	40	14	20	51
1232766_1	26	22	30	65
1232766_2	26	22	30	65
643510	36	11	20	55
2538898	33	14	25	77
1063745	31	15	19	32
2745978	25	16	29	52
2167797_1	27	15	18	63
2167797_2	27	15	18	63
2228759	19	14	17	39
2578959	30	14	19	71
1661995	42	20	25	45
2511016	26	18	12	54
836645	33	16	14	49
2346164	27	25	17	50
1816096	40	19	16	58
138152	27	18	19	39
1329899	37	18	27	28
1301717	42	20	21	86
860302_1	27	17	21	24
860302_2	27	17	21	24
860302_3	27	17	21	24
1859587	22	15	22	34
2198577_1	36	14	21	73
2198577_2	36	14	21	73
1209466	32	20	20	43
1742840	19	16	16	22
383285	16	14	16	43
2489685	36	14	18	53
1698343	24	15	25	85
2718720	33	19	22	54
1541970	21	14	13	57
1430706	18	12	19	89
2892390	30	22	25	69
948635	29	10	24	75
135717	18	12	12	49
1608037	34	19	22	79
2200056	25	12	18	68
2898312	38	19	33	83
1787214	31	14	24	86
376315	29	22	27	65
1983900	17	18	17	60
1027235_1	36	21	25	96
1027235_2	36	21	25	96
339373	39	25	21	71
2867588	22	12	14	59
2869353	23	14	19	52
1260075_1	32	23	28	36
1260075_2	32	23	28	36
1391063	24	13	24	29
2375002	22	11	11	50
1499196	29	26	20	42
1519082	17	15	13	60
4191	28	17	24	70
2107768_1	27	24	14	86
2107768_2	27	24	14	86
2107768_3	27	24	14	86
2310381	24	16	24	85
1393353	38	16	28	45
1833192	25	14	27	78
1416735	20	16	15	16
2781275	35	20	15	66
1931978	38	12	19	98
10939	25	23	25	67
937923	31	14	20	57
1188013_1	35	15	25	94
1188013_2	35	15	25	94
640006	24	15	15	27
2344708	31	14	23	83
1402665	22	18	21	24
2813943	30	13	15	71
2867558	36	21	28	60
2232473	20	11	25	49
2889749	30	21	29	27
853309	27	19	32	21
2189627	25	26	26	61
778214	30	15	14	72
1274016	35	26	27	66
1382376	35	21	20	46
1214390	29	19	23	97
799232	22	17	23	80
2159986	30	20	27	73
2529222	40	17	31	62
1435335	37	23	22	28
2158317	29	21	21	52
2719210	31	17	28	56
2189903	34	15	13	63
2200326_1	38	16	24	56
2200326_2	38	16	24	56
2881014	25	16	14	62
1776081	21	18	19	71
1121285	23	19	16	63
800232	34	14	23	100
2736831	38	16	28	35
1300210	22	12	22	61
1556634_1	38	22	27	55
1556634_2	38	22	27	55
2343811	27	13	25	78
2578663	33	10	17	91
2583293	24	19	24	88
2913686	29	23	33	47
1935489	20	11	12	77
366655	26	16	21	60
1307834	17	11	16	74
347285_1	33	19	21	94
347285_2	33	19	21	94
2505863	24	16	26	52
2682464	39	18	30	100
2143709	40	20	30	65
2127188	37	24	29	71
270057_1	25	11	21	32
270057_2	25	11	21	32
1805959	28	21	14	33
1810809	34	12	21	60
1907195_1	40	25	31	78
1907195_2	40	25	31	78
821334	26	16	21	91
1384080	29	14	20	94
2421139	15	15	11	52
2186346	33	14	22	34
1268662	21	9	17	32
1932085	27	17	18	74
2027970	38	21	27	68
2676819	31	18	20	52
333806	25	22	14	89
2734417	17	15	18	41
2186299	45	16	28	70
558512_1	36	16	23	106
558512_2	36	16	23	106
1186683	38	19	25	93
807283	27	15	16	28
1755652	40	20	22	32
2066313	29	15	10	65
1032177	28	13	26	72
1988605	32	16	21	90
1473182	34	20	20	68
2702108	38	24	32	84
1006184	28	16	20	23
2558000	19	21	19	71
2792017_1	25	24	31	76
2792017_2	25	24	31	76
744879	17	10	16	50
1250339	27	16	24	105
322457	25	17	11	66
1451985	29	21	17	35
1525475	29	13	33	57
364145	30	12	24	23
2872672_1	38	21	28	104
2872672_2	38	21	28	104
103358	26	19	21	69
733995	32	18	27	20
1676702	35	21	29	37
1690456	26	12	23	57
1752664	25	21	24	64
1935048	17	11	13	52
948047	23	13	21	44
2167380	21	21	28	64
1903262	32	22	23	90
653325	30	16	26	84
2795965	29	10	21	68
288335	36	26	18	28
2012761	34	16	30	111
2924624	17	16	18	29
1510792	25	15	11	100
290586	38	17	17	94
1402807	37	20	21	108
2130862	28	19	17	47
307609	25	11	21	89
1889113_1	26	17	24	71
1889113_2	26	17	24	71
2198943	30	15	23	66
2521148	43	20	32	96
641407	17	13	22	40
1502829	22	22	19	27
1572427	35	23	30	61
932116	32	14	17	69
2508544_1	30	23	21	66
2508544_2	30	23	21	66
900879	17	17	17	21
2526327	42	21	31	50
309163	38	18	23	84
2025713	28	11	17	40
858570	38	22	30	51
2461234	42	17	23	66
1319676	36	22	18	76
1950290	38	18	29	87
1305269	30	16	22	93
2814145	19	11	17	52
592292	27	21	27	71
1769541	29	14	29	78
1957795	32	16	33	79
1577184	24	9	14	55
596255	29	16	13	76
2030047_1	28	17	22	66
2030047_2	28	17	22	66
2160991	27	16	27	57
912231	24	10	21	78
2893620	35	18	26	92
1506872	36	15	21	37
947319	30	25	26	52
763833	30	19	18	75
385005	25	11	20	73
2430161	22	14	11	36
2119743	37	19	19	91
2942969	38	22	27	95
1575458	35	21	22	47
1573882	34	25	26	65
2178841	45	20	34	53
2726324	24	9	25	77
1857945	29	25	27	111
1747102	29	15	28	80
1933989	35	20	22	76
2224351_1	41	23	21	61
2224351_2	41	23	21	61
2204045	27	23	14	84
673159	19	13	25	49
2201558	29	15	21	37
1085180	22	13	30	71
1980169	23	13	20	42
1978979	37	20	31	75
206377	32	23	31	29
2738655	22	9	21	83
689159	33	16	31	70
1064035	29	18	24	71
348571	31	19	11	67
1912299	37	16	24	62
2422185	29	23	22	54
1146698	23	12	14	35
2710138	19	15	19	76
2726011	26	18	20	56
1937282	32	19	20	48
1513475	26	13	18	79
1880265	18	20	27	60
2591842	38	15	21	58
2902968	27	14	29	80
787078	30	21	18	79
653663	29	22	22	64
2074675	38	16	20	108
814684	20	19	23	67
2590336	33	18	19	15
1720730	15	12	14	55
2009344	29	10	12	91
484444	23	26	19	52
2772253	17	22	20	63
2523562	17	18	23	74
2139342_1	34	14	19	46
2139342_2	34	14	19	46
765022	19	11	15	26
2667629	25	14	20	37
1384333	28	13	11	73
606190	45	14	21	102
1763936	27	15	20	75
1735347	33	16	18	43
2128701	39	20	31	106
1300121	28	21	24	20
294443	15	10	13	80
2233905	29	11	23	35
1737304	39	24	28	50
2499023	34	21	19	75
1772778_1	38	26	22	100
1772778_2	38	26	22	100
1772778_3	38	26	22	100
607396	35	13	21	89
2918013	15	10	10	49
313240	42	16	30	94
529254	23	20	16	94
142837	38	22	24	98
2728579	24	9	20	96
2867032	35	22	19	105
2780976	17	17	23	80
2809972	28	16	25	76
1196704	41	20	23	45
2422972	27	16	16	64
633416	43	22	18	57
2158653	36	17	29	86
2167973	41	14	21	106
1280405	21	11	12	56
2201978	24	17	19	40
293403	24	26	29	75
2195644	17	9	19	66
1644877	26	16	18	89
1835124	35	26	30	104
2896404	17	12	18	80
1342364	21	17	19	49
1999375	42	20	22	91
1514229	39	18	17	44
1871014	28	10	18	96
642475	35	15	27	87
1366593	23	18	17	72
1660474_1	41	13	16	94
1660474_2	41	13	16	94
1170499	35	17	24	76
2470977_1	39	24	24	110
2470977_2	39	24	24	110
1951938_1	26	15	11	79
1951938_2	26	15	11	79
1951938_3	26	15	11	79
2590733	26	18	17	63
2829620	37	20	24	60
1249488	30	14	13	93
2181240_1	33	24	33	109
2181240_2	33	24	33	109
2181240_3	33	24	33	109
263876	32	14	21	89
802890	20	9	20	92
2026240	16	20	15	63
1307544	19	16	24	107
2484104	41	20	25	85
372617	32	16	26	42
2223059	25	14	20	47
1213398	27	22	17	72
2566732_1	37	26	27	94
2566732_2	37	26	27	94
2730413	26	18	21	59
1478106	29	22	17	77
837152	16	13	14	51
2765076	27	23	23	52
2875493	20	11	15	45
1742575	18	14	23	93
2145801	27	14	20	101
1564459	26	23	34	71
933006	26	19	18	56
1614248	23	12	13	25
516584	40	16	19	53
1738576	30	14	21	77
634691_1	28	15	32	110
634691_2	28	15	32	110
2832446	23	20	20	96
384887	25	17	20	99
2322178	23	20	15	40
2858276	18	15	24	31
2013440	36	21	16	44
1919733	39	26	27	73
517610	45	20	32	77
630454	32	20	25	97
865277	37	19	25	54
2750046	27	17	21	85
2183113_1	28	11	21	96
2183113_2	28	11	21	96
446359_1	43	25	28	63
446359_2	43	25	28	63
446359_3	43	25	28	63
1709184	15	10	23	85
1268525	35	14	21	110
556933_1	39	17	26	86
556933_2	39	17	26	86
2103476_1	33	19	18	74
2103476_2	33	19	18	74
2073366	27	17	24	59
1356744	25	10	17	47
1849357	30	16	18	82
697783	35	22	32	100
1189209	17	10	17	51
1219463	18	10	16	54
1468742_1	36	19	31	95
1468742_2	36	19	31	95
1916506	40	24	27	107
306384	41	18	25	72
2103759	25	21	18	55
2754102	27	20	22	44
1799237	32	21	31	111
2921779	18	16	23	76
937462	21	16	16	100
2870152	31	18	24	68
1819948	19	12	20	46
2824641	20	21	32	74
1856822	33	24	25	106
1929126	27	24	26	78
1250436	35	19	30	110
1671	35	21	33	93
377894	39	21	28	24
943392_1	22	11	25	33
943392_2	22	11	25	33
2519634	27	25	29	99
1832116	22	13	25	91
2598233	30	18	24	70
2776235	35	20	19	96
2230021	42	20	25	61
2879844	20	11	19	61
2297842	37	17	25	74
1439283	39	21	21	87
1836014	41	22	26	101
1002627	18	18	21	104
1672887	37	22	31	112
2022410	29	18	24	111
2218537	32	15	20	64
837411	22	22	17	65
2420856	33	19	29	70
1673085	28	18	27	75
2190563	41	15	19	91
2183032	37	24	25	107
1062795	40	16	30	95
1718500	28	12	32	79
2104133	36	16	29	56
898601	25	20	23	63
537839	26	20	26	98
1202812	39	20	28	45
1184792	30	21	23	75
860978	24	22	25	77
623949	40	15	20	102
2351874	34	20	31	97
367684	42	25	33	72
2876852	20	14	28	112
1929041	39	16	23	94
1306966	34	21	27	78
2150384	29	18	19	80
478455	38	21	28	102
855579_1	25	13	12	81
855579_2	25	13	12	81
66878	24	14	26	104
1384475	26	13	20	83
2262356	20	15	25	71
264486	33	19	22	60
2348364	42	20	28	90
1921872	33	17	24	108
1731932_1	32	17	27	72
1731932_2	32	17	27	72
2842261	34	18	26	83
2855992_1	31	18	23	99
2855992_2	31	18	23	99
2560406	35	21	31	51
2144438	39	22	22	96
2469480_1	35	18	26	80
2469480_2	35	18	26	80
1454855	24	13	19	64
288155	38	18	21	81
953188	27	18	22	44
1369271	36	22	22	94
1922479	31	20	27	98
1296582	28	18	19	94
658076	18	20	22	72
1408655	25	12	16	77
1602767	31	24	30	104
2292326	29	18	27	100
1888872	33	14	25	73
1551732	30	18	21	95
2193966_1	31	10	13	42
2193966_2	31	10	13	42
2193966_3	31	10	13	42
864922	43	19	23	97
947931	27	16	17	72
2719373	36	22	28	74
1187901	24	10	15	58
1789187	37	21	25	107
2012311	26	16	22	64
1499799	43	21	31	52
588665_1	34	15	20	109
588665_2	34	15	20	109
838216	24	17	13	55
1710410	27	13	29	108
2939613	34	26	34	110
2192492	34	16	28	94
604591	35	17	32	82
2316145	25	12	28	72
1723553	30	16	22	96
2777330	21	13	14	64
135119	31	20	27	66
2812557	27	15	22	96
1854168	42	22	23	63
1449262	36	17	26	45
1891028	21	13	21	39
1787675	26	15	19	83
1672994	36	22	31	104
2011130	27	15	32	111
1740482	34	19	23	28
2527691	33	25	16	46
2585686	30	13	21	89
2344045	27	12	24	89
2900058_1	32	21	26	107
2900058_2	32	21	26	107
1865260	45	26	24	112
1660756	38	13	22	97
2020400	40	20	32	110
2071834_1	32	11	23	97
2071834_2	32	11	23	97
2819369	16	17	14	99
473109	25	12	31	110
1453200	31	18	21	100
916718	32	14	23	107
2030035	21	13	20	106
2061622	27	16	25	81
603483_1	29	17	27	109
603483_2	29	17	27	109
