TARA_23	TARA_25	TARA_26	TARA_78	TARA_80
6469860	0.571428571428571	0.285714285714286	0.1	0.0625	0.0555555555555556
3971273_1	1	1	1	0.6	0.460526315789474
3971273_2	1	1	1	0.6	0.460526315789474
5161819	0.363636363636364	0.5	0.8125	1	0.910714285714286
4752415	0.0769230769230769	0	0	0	0.2
3096690	0	0.533333333333333	0.615384615384615	0.727272727272727	0.728813559322034
2375017	0.666666666666667	0.75	0.666666666666667	0.384615384615385	0.157894736842105
3520536	0.764705882352941	0.166666666666667	0.545454545454545	0.133333333333333	0.294117647058824
6459536	0	0	0	0.666666666666667	0.326923076923077
1718232	0.846153846153846	0.714285714285714	0.666666666666667	0.0769230769230769	0.407407407407407
3890802	0.384615384615385	0.666666666666667	0.777777777777778	0.263157894736842	0.171875
669860	0	0.133333333333333	0	0.5	0.538461538461538
3101648	0.733333333333333	1	1	1	1
1188365	1	1	1	0.5	0.595744680851064
6344100	0	0.142857142857143	0	0.666666666666667	0.230769230769231
1655592	0.818181818181818	1	1	0.461538461538462	0.931506849315068
5715164	0.375	0.5625	0.636363636363636	1	0.888888888888889
2217685_1	0.909090909090909	1	1	0.466666666666667	0.56
2217685_2	0.909090909090909	1	1	0.466666666666667	0.56
2943212	0	0.2	0.111111111111111	0.846153846153846	0.365079365079365
4658718	0	0.05	0	0.3	0.404255319148936
284631	1	1	1	0.333333333333333	0.631578947368421
2133292	1	1	1	0.4375	0.808219178082192
1509725	0.272727272727273	0.684210526315789	0.111111111111111	0	0.320754716981132
4464035	0	0	0	0.454545454545455	0.375
5572523	0	0	0.0833333333333333	0	0.403225806451613
1472062	0.5625	0.9375	0.642857142857143	0.777777777777778	0.982758620689655
4851732	1	1	1	0.777777777777778	0.551020408163265
4907813_1	0.666666666666667	0.789473684210526	0.916666666666667	0.615384615384615	0.333333333333333
4907813_2	0.666666666666667	0.789473684210526	0.916666666666667	0.615384615384615	0.333333333333333
5067119_1	1	1	1	0.8	0.579710144927536
5067119_2	1	1	1	0.8	0.579710144927536
1495732_1	0.111111111111111	0.470588235294118	0.0833333333333333	0	0.151515151515152
1495732_2	0.111111111111111	0.470588235294118	0.0833333333333333	0	0.151515151515152
3678667	0	0	0	0.333333333333333	0.378378378378378
4626986	0.117647058823529	0.1875	0.214285714285714	0.588235294117647	0.125
198205	0	0	0.153846153846154	0.5	0.423076923076923
908571	1	1	1	0.666666666666667	0.58695652173913
4118405	0	0.0555555555555556	0	0	0.126984126984127
2472733	0.928571428571429	1	0.777777777777778	0.421052631578947	0.602739726027397
1411949	0.3	0.1875	0.363636363636364	0.375	0.703703703703704
3015173	1	0.866666666666667	1	0.4	0.532258064516129
4813482	0	0	0	0.6	0.25
1780008	1	1	1	0.7	0.644067796610169
3958176	1	1	1	1	0.666666666666667
6022814	0.181818181818182	0.727272727272727	0.333333333333333	0.117647058823529	0.274193548387097
2443148	0.176470588235294	0.266666666666667	0.0769230769230769	0.666666666666667	0.635135135135135
3675017	0.9	1	0.9	0.583333333333333	0.666666666666667
2810870	1	0.928571428571429	1	0.555555555555556	0.641509433962264
4953236	1	1	1	1	0.673076923076923
1143759	1	1	1	0.588235294117647	0.569444444444444
1155478	0.461538461538462	0.55	0.8	0.8	0.826666666666667
4775893	0.666666666666667	1	1	0.666666666666667	0.666666666666667
4361837	0	0	0	0.555555555555556	0.329268292682927
1821081	0.0909090909090909	0.375	0.0666666666666667	0	0.0779220779220779
1164023	1	1	1	0.615384615384615	0.608695652173913
1566489	1	1	1	0.818181818181818	0.614035087719298
3437786	0	0	0	0.0666666666666667	0.253968253968254
3380622	0	0.166666666666667	0.1	0.333333333333333	0.408163265306122
2258771	0.916666666666667	1	1	0.416666666666667	0.689655172413793
4143406	0	0.153846153846154	0	0	0.283582089552239
2698099	0.777777777777778	0.4	0	0.333333333333333	0.222222222222222
2272680	0.5	0.9375	0.692307692307692	0.833333333333333	0.953125
2265413	0.833333333333333	0.8125	0.818181818181818	0.357142857142857	0.802816901408451
3068353	0	0.0555555555555556	0	0.1875	0.38961038961039
3725601_1	1	1	1	1	0.685714285714286
3725601_2	1	1	1	1	0.685714285714286
5320722	1	1	1	0.933333333333333	0.882352941176471
3632400	0.166666666666667	0.2	0.5	0.0769230769230769	0.171428571428571
3406830	0.75	0.916666666666667	1	1	1
1039707	0.0714285714285714	0	0	0.533333333333333	0.269230769230769
2199200	0.545454545454545	1	0.642857142857143	0.888888888888889	0.765957446808511
3303798	0.0555555555555556	0.166666666666667	0	0.2	0.228070175438596
570771	1	0.666666666666667	0.666666666666667	1	0.84
5423283	1	0.9	0.923076923076923	0.444444444444444	0.596774193548387
459799	0.166666666666667	0.352941176470588	0.2	0.5	0.671428571428571
4249655	0	0.0625	0	0.5	0.205882352941176
3768707	0	0.125	0	0.181818181818182	0.173913043478261
5381208	1	1	1	0.846153846153846	0.647058823529412
3104928	0.0833333333333333	0	0.0833333333333333	0.444444444444444	0.288888888888889
4266135	0	0	0	0.2	0.359375
3711529	1	1	0.909090909090909	1	0.765957446808511
2761325	1	1	1	0.909090909090909	0.623376623376623
3114023	0	0	0	0.0588235294117647	0.25
1347487	0.25	0.5625	0.333333333333333	0.133333333333333	0.116883116883117
4658853	0	0	0	0.428571428571429	0.0972222222222222
730151	0.1875	0	0	0	0
945605	0.7	0.357142857142857	0	0.111111111111111	0.36734693877551
6186440	1	1	1	0.8	0.643835616438356
5342207_1	1	1	1	0.666666666666667	0.803921568627451
5342207_2	1	1	1	0.666666666666667	0.803921568627451
2501943	1	0.80952380952381	0.866666666666667	0.769230769230769	0.590909090909091
5028430	0.307692307692308	0.625	0.5	0.933333333333333	0.68
2795482	1	1	1	0.777777777777778	0.660714285714286
6598996	1	0.941176470588235	1	1	0.742424242424242
6070438	1	1	1	0.769230769230769	0.652173913043478
4850639	0	0.05	0.375	0	0.121212121212121
1362895	0	0	0	0.210526315789474	0.375
4699858	1	1	1	0.666666666666667	0.617283950617284
3249024	0.916666666666667	1	0.923076923076923	0.615384615384615	0.764705882352941
5856693	1	0.714285714285714	0.909090909090909	1	0.733333333333333
3498150	1	1	1	1	0.704918032786885
2008133	0.3	0.866666666666667	0.692307692307692	0.642857142857143	0.851851851851852
2457116	0.4	0.466666666666667	0.888888888888889	0.583333333333333	0.254545454545455
1574838	1	1	1	0.545454545454545	0.7
5285145	1	0.947368421052632	1	0.4	0.653846153846154
1749250	0.5	0.944444444444444	0.8	0.533333333333333	0.792207792207792
4610459_1	0.166666666666667	0.307692307692308	0.111111111111111	0.117647058823529	0.538461538461538
4610459_2	0.166666666666667	0.307692307692308	0.111111111111111	0.117647058823529	0.538461538461538
1534235_1	0.833333333333333	0.9375	1	1	0.692307692307692
1534235_2	0.833333333333333	0.9375	1	1	0.692307692307692
751184	1	1	1	0.714285714285714	0.66
4653952	0.785714285714286	0.526315789473684	0.307692307692308	0.357142857142857	0.470588235294118
3628601	1	1	1	0.631578947368421	0.588235294117647
3871004	0.0588235294117647	0.105263157894737	0	0	0.317460317460317
3155481	0	0	0	0.272727272727273	0.3125
4796053	0	0	0	0.4	0.277777777777778
1739326	0.1	0.5	0.0833333333333333	0.3125	0.25
4481954	1	0.647058823529412	0.833333333333333	0.615384615384615	0.482758620689655
2856521	1	1	1	0.533333333333333	0.7375
6212944	1	1	1	0.9	0.753846153846154
1317092_1	0	0	0	0.4375	0.325
1317092_2	0	0	0	0.4375	0.325
1317092_3	0	0	0	0.4375	0.325
2421756	1	1	1	0.555555555555556	0.694915254237288
2423332	0.0666666666666667	0.25	0.4	0.411764705882353	0.215686274509804
6107669	0.125	0.333333333333333	0.181818181818182	0.545454545454545	0.533333333333333
5516219	0	0	0	0.266666666666667	0.333333333333333
3001703	0	0	0	0.5	0.276315789473684
2912382	0	0	0.166666666666667	0.0833333333333333	0.216666666666667
5299561	0	0.111111111111111	0.266666666666667	0.0769230769230769	0.148148148148148
3213770	0.153846153846154	0.6875	0.142857142857143	0.3	0.395833333333333
707489	1	1	1	0.857142857142857	0.677966101694915
206028	0.888888888888889	0.8	0.6	0.705882352941177	0.735294117647059
3839924	1	0.588235294117647	0.916666666666667	1	0.764705882352941
3516034	0	0	0.0833333333333333	0	0.109375
733695	1	1	1	1	0.792207792207792
5581920	0	0	0	0.416666666666667	0.230769230769231
5165073	0.5	0.133333333333333	0.2	0	0.272727272727273
2231202	0	0	0	0.142857142857143	0.333333333333333
2811781	0.0769230769230769	0	0	0.428571428571429	0.307692307692308
4030909	0.8	0.941176470588235	0.9	0.5	0.574074074074074
1797328	1	1	1	0.785714285714286	0.80952380952381
266608	0.214285714285714	0.6	0.733333333333333	0.533333333333333	0.769230769230769
115861	0.25	0.125	0.0714285714285714	0.111111111111111	0.192307692307692
2477360	0.266666666666667	0.25	0.2	0.769230769230769	0.528571428571429
588855	0.125	0.533333333333333	0.166666666666667	0.142857142857143	0.410958904109589
3351269	1	0.923076923076923	0.769230769230769	0.916666666666667	0.583333333333333
5634415	1	1	1	0.769230769230769	0.652777777777778
3135164	1	1	1	0.727272727272727	0.732394366197183
913695	1	0.727272727272727	0.909090909090909	0.846153846153846	0.711538461538462
3701241	0	0.0714285714285714	0.0833333333333333	0.285714285714286	0.338235294117647
1327003	1	0.928571428571429	1	0.75	0.849315068493151
6455513	0.333333333333333	0.578947368421053	0.1	0.75	0.369230769230769
658434	0.642857142857143	0.470588235294118	0.538461538461538	0	0.339622641509434
221881	0	0.166666666666667	0	0.4	0.323076923076923
2762788	0	0	0	0.266666666666667	0.123287671232877
5012683	1	1	1	0.923076923076923	0.830188679245283
6034392	0.2	0.272727272727273	0.222222222222222	0.615384615384615	0.553571428571429
304002	1	1	1	0.8	0.821428571428571
1216089	0.0588235294117647	0.363636363636364	0.2	0.0666666666666667	0.204081632653061
4358968	0.3	0	0.214285714285714	0.444444444444444	0.472222222222222
2982094	0.818181818181818	0.75	0.857142857142857	0.9	0.673469387755102
5266657	1	0.909090909090909	1	0.722222222222222	0.58974358974359
6298807	0.1	0.666666666666667	0.25	0.230769230769231	0.428571428571429
4594415	0.363636363636364	0.315789473684211	0.0769230769230769	0.230769230769231	0.384615384615385
6477285	0.75	0.571428571428571	0.461538461538462	0.769230769230769	0.814814814814815
1468673	0.2	0	0.111111111111111	0.166666666666667	0.39344262295082
915779	0.6	1	1	1	0.863013698630137
2985127	0	0.0476190476190476	0	0	0.166666666666667
3619281_1	0	0	0	0.0666666666666667	0.295774647887324
3619281_2	0	0	0	0.0666666666666667	0.295774647887324
3232774	1	1	1	1	0.775510204081633
6333885	0.125	0.210526315789474	0.0909090909090909	0.214285714285714	0.457142857142857
5646547	0	0.0555555555555556	0.153846153846154	0.416666666666667	0.323076923076923
4759011	0	0	0	0.0833333333333333	0.129032258064516
6013389	1	1	1	1	0.76271186440678
4517263	0.375	0.461538461538462	0.1875	0.25	0.162162162162162
2118836	0	0	0	0.416666666666667	0.191176470588235
4713276	1	1	1	0.6	0.794871794871795
4492311	0	0.0625	0	0.117647058823529	0.2125
1061645	0.4	0.8125	1	0.5	0.694915254237288
1985599	0.5625	0	0.4	0.166666666666667	0.266666666666667
2749296	0	0.0714285714285714	0.230769230769231	0.333333333333333	0.343283582089552
2050010	0.882352941176471	0.5	0.846153846153846	0.8	0.777777777777778
2250337	0	0.25	0.615384615384615	0.2	0.380952380952381
1352878	0.555555555555556	0.666666666666667	0.272727272727273	0.705882352941177	0.685185185185185
738032	0.588235294117647	0.55	0.916666666666667	0.352941176470588	0.363636363636364
3620788	0	0.0588235294117647	0	0.166666666666667	0.245901639344262
4461534	0.142857142857143	0.0625	0.230769230769231	0.461538461538462	0.465116279069767
1510637	0.142857142857143	0.533333333333333	0	0.25	0.222222222222222
3459682	1	0.9375	1	0.785714285714286	0.657142857142857
1002310	0.923076923076923	0.933333333333333	1	0.611111111111111	0.617283950617284
4678489	0	0	0	0.214285714285714	0.293103448275862
4210742	0	0	0	0.444444444444444	0.210526315789474
662402	1	1	1	0.923076923076923	0.741379310344828
1752625	0.6	0.684210526315789	0.833333333333333	0.538461538461538	0.402298850574713
4963659	0	0	0	0.0588235294117647	0.207792207792208
1294147	0.333333333333333	0.307692307692308	0.333333333333333	0.307692307692308	0.5625
5515874	0.214285714285714	0.25	0.166666666666667	0.272727272727273	0.264150943396226
4875230	0	0.0714285714285714	0	0.0555555555555556	0.148148148148148
2428277	0.529411764705882	0.421052631578947	0.222222222222222	0	0.242857142857143
666469	0.0625	0.65	0.5	0.4375	0.5
1978487	0.0909090909090909	0	0.357142857142857	0.0769230769230769	0.241379310344828
3946467	0.928571428571429	1	0.916666666666667	0.733333333333333	0.779220779220779
2976677	0	0	0	0.25	0.161764705882353
2149854	1	0.538461538461538	0.636363636363636	0.769230769230769	0.8
308073	0.333333333333333	0.6875	0.615384615384615	0.461538461538462	0.711538461538462
5633203	1	1	1	0.6	0.785714285714286
1263762	0	0	0	0.142857142857143	0.285714285714286
2593220	0.785714285714286	0.941176470588235	0.857142857142857	0.636363636363636	0.553571428571429
145846	0.230769230769231	0.235294117647059	0	0.214285714285714	0.26
2947188_1	1	0.928571428571429	0.818181818181818	0.647058823529412	0.584905660377358
2947188_2	1	0.928571428571429	0.818181818181818	0.647058823529412	0.584905660377358
2922237	0	0	0	0.333333333333333	0.303030303030303
1515661	0.785714285714286	0.555555555555556	0.727272727272727	0.818181818181818	0.730769230769231
2483007	0.444444444444444	0.722222222222222	0.230769230769231	0.615384615384615	0.680555555555556
3405294	0	0.0833333333333333	0.384615384615385	0.181818181818182	0.163636363636364
27683	0.818181818181818	1	1	0.611111111111111	0.606060606060606
1910538	0.142857142857143	0.263157894736842	0	0.533333333333333	0.153846153846154
6426675	1	1	1	0.727272727272727	0.708333333333333
1436204	0.666666666666667	0.3125	0.333333333333333	0.0666666666666667	0.333333333333333
5745974	0.0588235294117647	0	0.166666666666667	0	0.283582089552239
2647989	0.307692307692308	0.411764705882353	0.0714285714285714	0.6875	0.3875
96776	0	0.176470588235294	0.0833333333333333	0.294117647058824	0.22972972972973
4932111	0	0	0	0.333333333333333	0.211538461538462
798845	0.9	0.823529411764706	0.9	0.842105263157895	0.769230769230769
1308264	0	0.157894736842105	0.222222222222222	0.1	0.235294117647059
707164	0.636363636363636	0.866666666666667	0.9	0.941176470588235	0.709677419354839
4058329	1	1	1	0.777777777777778	0.739130434782609
59859	1	0.882352941176471	0.9375	0.75	0.651515151515151
4740024	1	1	1	0.875	0.71875
2989949	0.285714285714286	0.315789473684211	0.0625	0.181818181818182	0.428571428571429
3083941	0	0	0	0.1875	0.232876712328767
673491_1	0.470588235294118	0.666666666666667	0.733333333333333	0.375	0.323529411764706
673491_2	0.470588235294118	0.666666666666667	0.733333333333333	0.375	0.323529411764706
871747	1	1	0.909090909090909	1	0.739130434782609
3479656	1	0.928571428571429	0.916666666666667	0.785714285714286	0.8
3985057	0.272727272727273	0.176470588235294	0.2	0.375	0.493333333333333
1409418	0.181818181818182	0	0.111111111111111	0.111111111111111	0.175
465558	0	0	0.133333333333333	0.153846153846154	0.253333333333333
2486125	0.846153846153846	0.578947368421053	0.583333333333333	0.461538461538462	0.423076923076923
2864144	0	0	0	0.125	0.135135135135135
2182075	0	0.428571428571429	0.3	0.3125	0.114754098360656
1498061	1	1	0.727272727272727	0.916666666666667	0.871794871794872
243272	1	0.909090909090909	1	1	0.773584905660377
279636	0.3125	0.764705882352941	0.4	0.785714285714286	0.586206896551724
3918363	0	0.2	0	0.454545454545455	0.181818181818182
3281338_1	0	0	0	0.357142857142857	0.162162162162162
3281338_2	0	0	0	0.357142857142857	0.162162162162162
5326421	0.666666666666667	0.8	0.733333333333333	0.454545454545455	0.422535211267606
5567798	1	1	1	0.923076923076923	0.75
2918512	0.571428571428571	0.5625	0.714285714285714	0.857142857142857	0.76
4323671	1	0.5625	0.909090909090909	0.857142857142857	0.784810126582278
4549801	0.8	1	1	0.571428571428571	0.706896551724138
2965575	0.428571428571429	0.117647058823529	0.333333333333333	0	0.162790697674419
330799	0.529411764705882	0.736842105263158	0.363636363636364	0.611111111111111	0.397590361445783
6124589_1	0.583333333333333	0.75	0.75	0.833333333333333	0.841269841269841
6124589_2	0.583333333333333	0.75	0.75	0.833333333333333	0.841269841269841
2803626	0.636363636363636	0.7	0.615384615384615	0.2	0.507462686567164
5489225	0.0714285714285714	0.176470588235294	0.1875	0.153846153846154	0.313432835820896
4904278	1	1	0.928571428571429	0.941176470588235	0.72972972972973
5405048	1	1	1	1	0.795918367346939
1181721_1	1	1	1	0.684210526315789	0.746835443037975
1181721_2	1	1	1	0.684210526315789	0.746835443037975
3100925	0	0.0666666666666667	0.0714285714285714	0.0769230769230769	0.23728813559322
1095778	1	1	0.933333333333333	0.9375	0.743589743589744
1179864	0	0.105263157894737	0	0	0.25
1354045	0.444444444444444	0.357142857142857	0.181818181818182	0.529411764705882	0.5
1196852	0.928571428571429	0.933333333333333	1	1	0.884615384615385
675634_1	1	1	0.9	0.875	0.797297297297297
675634_2	1	1	0.9	0.875	0.797297297297297
675634_3	1	1	0.9	0.875	0.797297297297297
6126465	0	0.105263157894737	0.111111111111111	0.25	0.253521126760563
1530916	0.647058823529412	0.882352941176471	1	0.928571428571429	0.855263157894737
4632590	0.3	0.416666666666667	0.444444444444444	0.666666666666667	0.73469387755102
3171019	1	1	1	0.647058823529412	0.804878048780488
5527074	0.0666666666666667	0.166666666666667	0.0714285714285714	0.1875	0.282051282051282
1247608	1	1	1	0.923076923076923	0.784313725490196
2674736	0.933333333333333	0.85	0.846153846153846	0.857142857142857	0.714285714285714
2188488	0.941176470588235	0.9375	0.714285714285714	0.647058823529412	0.648648648648649
1147524	0	0	0.0909090909090909	0.142857142857143	0.282352941176471
4059933	0.466666666666667	0.705882352941177	0.923076923076923	0.692307692307692	0.725
3278543	0.923076923076923	0.933333333333333	0.857142857142857	0.8	0.7
1210594	0.272727272727273	0.3125	0.333333333333333	0.375	0.575342465753425
4010662	1	1	1	0.684210526315789	0.84375
3090442	0.666666666666667	1	0.9	0.916666666666667	0.837837837837838
5647787	0	0.0714285714285714	0.0909090909090909	0.3	0.289473684210526
1693323	1	0.95	0.642857142857143	0.777777777777778	0.811594202898551
558836_1	0.75	0.5	0.833333333333333	0.75	0.682539682539683
558836_2	0.75	0.5	0.833333333333333	0.75	0.682539682539683
5155830	0	0	0	0	0.2
6005211	0.0909090909090909	0.15	0.266666666666667	0.111111111111111	0.280701754385965
2543259	1	1	1	0.666666666666667	0.898550724637681
1463407	0	0.222222222222222	0.111111111111111	0	0.132352941176471
4034142	1	1	1	0.846153846153846	0.743589743589744
3896445	0.9	0.9375	1	0.941176470588235	0.698630136986301
2069398	1	1	1	0.888888888888889	0.766666666666667
4063735	0.0714285714285714	0.235294117647059	0.230769230769231	0.454545454545455	0.130434782608696
5040286	0.583333333333333	0.888888888888889	1	0.75	0.681159420289855
5162369	0	0	0	0.2	0.225352112676056
727902	0.230769230769231	0.277777777777778	0.307692307692308	0.777777777777778	0.285714285714286
3902478	0.5	0.5	0.1875	0.1	0.272727272727273
1254293	1	1	1	0.6875	0.742857142857143
2955374	0.0714285714285714	0.285714285714286	0.142857142857143	0.375	0.345679012345679
5516126	1	1	1	1	0.82
4466141	0	0	0	0.3125	0.205479452054795
1676839_1	0.916666666666667	0.6	0.833333333333333	0.75	0.691176470588235
1676839_2	0.916666666666667	0.6	0.833333333333333	0.75	0.691176470588235
3025775	0.636363636363636	0.647058823529412	0.785714285714286	0.3	0.576923076923077
4274589	0	0	0	0.285714285714286	0.214285714285714
5025481	1	1	1	0.6875	0.779411764705882
1509739	0.555555555555556	1	0.857142857142857	0.916666666666667	0.844827586206897
357095	0.333333333333333	0.294117647058824	0	0.0909090909090909	0.164179104477612
952785	0.0666666666666667	0	0	0.333333333333333	0.263888888888889
3074903	0.769230769230769	0.947368421052632	1	0.733333333333333	0.774647887323944
2069695	0.2	0.272727272727273	0.583333333333333	0.352941176470588	0.521739130434783
3411592	0.0769230769230769	0.222222222222222	0.153846153846154	0	0.32
2781545	0.363636363636364	0.0588235294117647	0.2	0	0.205882352941176
2693999	0.4	0.0714285714285714	0.2	0.176470588235294	0.411764705882353
2671581	0.933333333333333	0.5	0.636363636363636	0.777777777777778	0.714285714285714
296145	1	0.80952380952381	0.777777777777778	0.846153846153846	0.703125
5103112	1	1	1	0.692307692307692	0.858974358974359
6017312	0.866666666666667	0.904761904761905	1	0.666666666666667	0.818181818181818
5412694	0.833333333333333	0.846153846153846	0.777777777777778	0.909090909090909	0.625
2354280	1	1	1	0.714285714285714	0.8
2888384	1	1	0.9	1	0.864864864864865
1174951_1	0.266666666666667	0.526315789473684	0.75	0.764705882352941	0.539473684210526
1174951_2	0.266666666666667	0.526315789473684	0.75	0.764705882352941	0.539473684210526
3639965	1	1	1	0.714285714285714	0.824561403508772
2438730	1	0.909090909090909	0.8	0.722222222222222	0.620253164556962
3978018	0	0	0	0.294117647058824	0.205128205128205
472411	0.176470588235294	0	0	0.285714285714286	0.253731343283582
1361124	0.142857142857143	0.0666666666666667	0.3	0.230769230769231	0.338028169014085
1953901	0.166666666666667	0.4	0.0714285714285714	0.1	0.146666666666667
2991243	0.2	0.05	0.153846153846154	0	0.307692307692308
6190811	0.588235294117647	0.555555555555556	0.428571428571429	0.6875	0.647058823529412
4941528	0.111111111111111	0.166666666666667	0	0.2	0.338235294117647
1621827	0.411764705882353	0.705882352941177	0.8	0.666666666666667	0.508771929824561
473555	0	0.25	0	0.352941176470588	0.338235294117647
3061898	0.928571428571429	0.611111111111111	0.538461538461538	0.444444444444444	0.693333333333333
4033097	0.294117647058824	0.117647058823529	0.25	0.222222222222222	0.343283582089552
2909182	1	0.846153846153846	0.9	0.733333333333333	0.640625
2270975	0	0.0555555555555556	0	0.266666666666667	0.276315789473684
1221730	1	1	1	0.818181818181818	0.868852459016393
3349443	1	1	1	1	0.828125
3714425	0.1	0.277777777777778	0	0.0769230769230769	0.215384615384615
